Record_ID,Date,Region,Category,Active_Users,Transactions,Revenue,Churned_Users,Avg_Ticket_Size,Churn_%
28,2025-01-28,South,Electronics,292,140,25885.6,23,170.0,7.876712328767123
29,2025-01-29,East,Beauty,169,92,7002.02,12,78.13,7.100591715976331
30,2025-01-30,North,Beauty,313,206,13527.0,20,68.08,6.3897763578274756
31,2025-01-31,East,Sports,269,168,18344.33,12,116.63,4.4609665427509295
32,2025-02-01,North,Clothing,227,120,10188.5,18,81.17,7.929515418502203
33,2025-02-02,North,Clothing,285,131,14039.02,12,99.24,4.2105263157894735
34,2025-02-03,West,Beauty,375,281,19056.76,37,68.78,9.866666666666667
35,2025-02-04,West,Clothing,260,135,14511.04,21,97.96,8.076923076923077
36,2025-02-05,West,Sports,264,140,14823.79,12,96.85,4.545454545454546
37,2025-02-06,South,Sports,225,93,12585.48,16,119.38,7.111111111111111
38,2025-02-07,North,Clothing,203,136,15655.61,12,107.41,5.911330049261084
39,2025-02-08,East,Beauty,296,186,11136.24,26,62.86,8.783783783783784
40,2025-02-09,South,Beauty,203,89,6325.52,23,59.81,11.330049261083744
41,2025-02-10,North,Electronics,254,97,14891.9,8,153.27,3.149606299212598
42,2025-02-11,South,Sports,224,139,19169.88,19,115.62,8.482142857142858
43,2025-02-12,North,Home & Kitchen,276,169,23028.52,21,129.82,7.608695652173914
44,2025-02-13,West,Beauty,268,123,8655.72,26,71.18,9.701492537313433
45,2025-02-14,South,Clothing,307,224,19631.88,26,85.83,8.469055374592834
46,2025-02-15,East,Sports,222,91,8554.21,14,105.68,6.306306306306306
47,2025-02-16,South,Clothing,235,123,14303.22,17,98.23,7.234042553191489
48,2025-02-17,South,Electronics,196,143,30823.6,12,184.78,6.122448979591836
49,2025-02-18,South,Sports,226,117,17924.27,24,129.32,10.619469026548673
50,2025-02-19,North,Electronics,271,164,27783.67,22,160.79,8.118081180811808
51,2025-02-20,West,Clothing,292,149,16165.06,37,101.67,12.67123287671233
52,2025-02-21,West,Sports,199,91,9702.32,16,106.21,8.040201005025125
53,2025-02-22,West,Sports,298,222,24809.84,19,107.16,6.375838926174497
54,2025-02-23,West,Home & Kitchen,325,167,23989.92,14,134.79,4.3076923076923075
55,2025-02-24,East,Home & Kitchen,273,193,21779.95,10,133.66,3.6630036630036633
56,2025-02-25,West,Clothing,353,156,17783.55,14,111.8,3.9660056657223794
57,2025-02-26,North,Clothing,207,90,7929.17,18,82.29,8.695652173913043
58,2025-02-27,North,Clothing,182,66,5911.25,17,81.46,9.340659340659341
59,2025-02-28,North,Beauty,152,93,8123.5,6,75.65,3.9473684210526314
60,2025-03-01,South,Beauty,332,165,14454.15,34,71.98,10.240963855421686
61,2025-03-02,South,Beauty,286,199,14742.1,19,64.31,6.643356643356643
62,2025-03-03,South,Beauty,247,133,8708.86,21,59.4,8.502024291497975
63,2025-03-04,West,Electronics,265,195,34051.25,32,157.4,12.075471698113208
64,2025-03-05,South,Home & Kitchen,188,80,13520.17,19,142.74,10.106382978723403
65,2025-03-06,South,Electronics,385,269,45771.9,28,164.48,7.2727272727272725
66,2025-03-07,South,Home & Kitchen,257,170,21884.74,15,117.05,5.836575875486381
67,2025-03-08,North,Clothing,256,169,16231.5,8,85.65,3.125
68,2025-03-09,West,Sports,290,199,21886.96,18,104.26,6.206896551724138
69,2025-03-10,North,Clothing,276,181,15474.6,21,80.27,7.608695652173914
70,2025-03-11,West,Electronics,262,157,32138.36,14,186.27,5.343511450381679
71,2025-03-12,West,Electronics,207,83,13118.19,16,156.2,7.729468599033816
72,2025-03-13,North,Beauty,276,100,7920.44,23,77.57,8.333333333333332
73,2025-03-15,North,Home & Kitchen,354,254,29144.79,26,113.02,7.344632768361582
74,2025-03-16,West,Electronics,324,193,35409.21,21,187.66,6.481481481481481
75,2025-03-17,East,Electronics,338,226,39566.46,28,210.31,8.284023668639055
76,2025-03-18,East,Beauty,222,120,8688.02,20,73.8,9.00900900900901
77,2025-03-19,West,Electronics,196,78,15053.2,10,187.19,5.1020408163265305
78,2025-03-20,North,Beauty,243,97,6702.45,28,65.57,11.522633744855968
79,2025-03-21,South,Beauty,253,158,11173.54,20,65.79,7.905138339920949
80,2025-03-22,North,Electronics,310,162,36331.69,25,196.29,8.064516129032258
81,2025-03-23,West,Electronics,157,68,15232.9,15,217.91,9.554140127388536
82,2025-03-24,East,Sports,334,183,19323.06,29,116.41,8.682634730538922
83,2025-03-25,South,Clothing,241,91,10621.03,25,96.98,10.37344398340249
84,2025-03-26,North,Clothing,227,132,15235.79,20,102.89,8.81057268722467
85,2025-03-27,South,Beauty,194,89,6457.34,13,69.12,6.701030927835052
86,2025-03-28,South,Sports,159,106,11656.37,14,92.58,8.80503144654088
87,2025-03-29,East,Sports,295,140,14364.99,15,112.47,5.084745762711865
88,2025-03-30,East,Beauty,254,135,10091.53,21,81.53,8.267716535433072
89,2025-03-31,West,Clothing,179,63,5290.1,14,83.9,7.82122905027933
90,2025-04-01,South,Electronics,179,68,13790.38,13,197.65,7.262569832402235
91,2025-04-02,North,Beauty,232,118,8091.59,18,62.46,7.758620689655173
92,2025-04-03,East,Home & Kitchen,342,185,21533.77,11,126.61,3.216374269005848
93,2025-04-04,West,Clothing,236,139,12037.27,16,81.21,6.779661016949152
94,2025-04-05,East,Sports,167,78,8108.07,14,108.03,8.383233532934131
95,2025-04-06,West,Electronics,236,148,34012.34,20,202.06,8.47457627118644
96,2025-04-07,South,Home & Kitchen,235,163,20096.33,13,118.14,5.531914893617021
97,2025-04-08,South,Electronics,102,68,15254.88,11,195.98,10.784313725490197
98,2025-04-09,South,Home & Kitchen,247,90,12923.96,14,138.3,5.668016194331984
99,2025-04-10,North,Electronics,237,129,30365.34,25,213.45,10.548523206751055
100,2025-04-11,North,Electronics,288,113,20476.93,26,167.33,9.027777777777777
101,2025-04-12,North,Electronics,352,157,32075.19,22,178.29,6.25
102,2025-04-13,East,Home & Kitchen,312,232,21329.54,39,109.36,12.5
103,2025-04-14,South,Beauty,235,96,8075.76,12,82.41,5.106382978723404
104,2025-04-15,South,Home & Kitchen,189,104,16066.95,19,144.22,10.052910052910052
105,2025-04-16,West,Sports,392,234,26854.59,41,111.58,10.459183673469388
106,2025-04-17,North,Clothing,253,160,17018.49,16,106.7,6.324110671936759
107,2025-04-18,South,Clothing,251,144,16692.05,29,95.72,11.553784860557768
108,2025-04-19,West,Sports,249,88,10372.2,18,114.89,7.228915662650602
109,2025-04-20,North,Electronics,261,125,19746.57,23,157.64,8.812260536398467
110,2025-04-21,North,Sports,242,135,17908.87,21,120.11,8.677685950413224
111,2025-04-22,South,Electronics,218,84,14921.05,17,160.21,7.79816513761468
112,2025-04-23,North,Sports,220,108,14709.35,22,122.91,10.0
113,2025-04-24,West,Electronics,248,90,18085.62,25,203.78,10.080645161290322
114,2025-04-25,West,Sports,220,84,10702.78,8,118.27,3.6363636363636362
115,2025-04-26,East,Home & Kitchen,211,107,9294.41,24,104.13,11.374407582938389
116,2025-04-27,West,Sports,256,103,10374.31,10,102.2,3.90625
117,2025-04-28,West,Electronics,236,136,26875.44,25,169.22,10.59322033898305
118,2025-04-29,North,Home & Kitchen,333,208,24055.66,36,118.71,10.81081081081081
119,2025-04-30,West,Sports,104,70,7127.37,5,93.67,4.807692307692308
120,2025-05-01,South,Home & Kitchen,310,133,21165.4,22,144.66,7.096774193548387
121,2025-05-02,West,Home & Kitchen,319,133,17743.81,17,127.42,5.329153605015674
122,2025-05-03,West,Beauty,136,53,4024.31,10,65.1,7.352941176470589
123,2025-05-04,South,Clothing,231,140,12972.26,17,91.48,7.35930735930736
124,2025-05-05,North,Home & Kitchen,230,145,19280.45,23,122.62,10.0
125,2025-05-06,North,Home & Kitchen,173,63,9362.52,20,129.53,11.560693641618498
126,2025-05-07,South,Sports,207,150,18807.8,24,110.62,11.594202898550725
127,2025-05-08,West,Electronics,189,70,17503.86,12,212.93,6.349206349206349
128,2025-05-09,West,Clothing,346,196,18289.54,26,94.9,7.514450867052023
129,2025-05-10,North,Sports,301,191,25547.44,11,129.49,3.6544850498338874
130,2025-05-11,South,Sports,320,223,29465.62,19,123.92,5.9375
131,2025-05-12,South,Clothing,290,184,18331.92,30,85.03,10.344827586206897
132,2025-05-13,North,Home & Kitchen,188,126,20940.17,23,144.38,12.23404255319149
133,2025-05-14,North,Clothing,221,107,8751.27,11,81.88,4.97737556561086
134,2025-05-15,South,Electronics,277,187,44505.23,18,206.14,6.4981949458483745
135,2025-05-16,West,Home & Kitchen,183,70,8497.95,15,119.63,8.19672131147541
136,2025-05-17,South,Clothing,289,205,25104.51,25,107.93,8.650519031141869
137,2025-05-18,South,Home & Kitchen,237,135,21249.48,14,141.56,5.9071729957805905
138,2025-05-19,East,Electronics,229,155,32050.37,21,205.37,9.170305676855897
139,2025-05-20,South,Sports,289,153,21270.4,20,121.49,6.920415224913495
140,2025-05-21,West,Sports,274,166,17783.11,22,102.27,8.02919708029197
141,2025-05-22,West,Beauty,230,129,7642.03,22,59.44,9.565217391304348
142,2025-05-23,South,Home & Kitchen,314,202,25387.74,25,120.63,7.961783439490445
143,2025-05-24,South,Clothing,191,73,6477.41,13,83.83,6.806282722513089
144,2025-05-25,South,Beauty,284,106,8450.37,22,74.91,7.746478873239436
145,2025-05-27,South,Beauty,283,127,10064.41,22,66.12,7.773851590106007
146,2025-05-28,North,Electronics,233,96,22108.78,16,216.68,6.866952789699571
147,2025-05-29,East,Sports,268,187,19977.41,20,115.58,7.462686567164178
148,2025-05-30,South,Beauty,181,79,6380.33,22,78.13,12.154696132596685
149,2025-05-31,North,Sports,301,223,23959.41,28,95.45,9.30232558139535
150,2025-06-01,South,Beauty,240,116,10737.34,17,79.12,7.083333333333333
151,2025-06-02,West,Home & Kitchen,221,93,13214.6,22,144.02,9.95475113122172
152,2025-06-03,North,Clothing,308,205,21200.1,22,94.56,7.142857142857142
153,2025-06-04,North,Sports,211,129,15604.45,23,114.21,10.90047393364929
154,2025-06-05,South,Sports,173,95,11747.67,15,120.49,8.670520231213873
155,2025-06-06,West,Electronics,164,94,16443.98,13,163.34,7.926829268292683
156,2025-06-07,North,Electronics,283,180,34890.01,26,185.17,9.187279151943462
157,2025-06-08,East,Clothing,180,79,6207.72,7,91.53,3.888888888888889
158,2025-06-09,West,Beauty,347,260,18683.18,18,61.09,5.187319884726225
159,2025-06-10,North,Sports,135,100,11768.61,7,104.75,5.185185185185185
160,2025-06-11,East,Electronics,343,209,31057.38,29,156.24,8.454810495626822
161,2025-06-12,South,Home & Kitchen,262,113,13020.28,32,103.66,12.213740458015266
162,2025-06-13,East,Clothing,245,152,11335.96,33,82.52,13.46938775510204
163,2025-06-14,East,Sports,220,83,10095.95,21,128.34,9.545454545454547
164,2025-06-15,South,Sports,272,99,12526.92,25,111.96,9.191176470588236
165,2025-06-16,North,Beauty,248,112,8771.08,9,81.74,3.6290322580645165
166,2025-06-17,West,Home & Kitchen,311,166,21919.66,21,121.96,6.752411575562702
167,2025-06-18,South,Clothing,256,179,18842.52,15,88.56,5.859375
168,2025-06-19,North,Clothing,258,165,16360.66,17,95.21,6.5891472868217065
169,2025-06-20,North,Electronics,230,149,25775.69,17,180.97,7.391304347826087
170,2025-06-21,East,Sports,247,128,11750.54,17,94.38,6.882591093117409
171,2025-06-22,East,Beauty,267,130,8271.18,8,73.55,2.9962546816479403
172,2025-06-23,North,Sports,156,78,7697.97,15,98.76,9.615384615384617
173,2025-06-24,South,Sports,176,131,15705.74,9,114.74,5.113636363636364
174,2025-06-25,North,Home & Kitchen,291,107,14300.56,25,131.76,8.59106529209622
175,2025-06-26,East,Beauty,259,180,10660.36,34,61.23,13.127413127413126
176,2025-06-27,North,Sports,240,140,13669.4,14,92.63,5.833333333333333
177,2025-06-28,East,Sports,251,132,13840.64,8,121.12,3.187250996015936
178,2025-06-29,South,Clothing,269,172,19399.86,20,93.63,7.434944237918216
179,2025-06-30,West,Clothing,220,120,11139.76,24,79.89,10.909090909090908
180,2025-07-01,North,Electronics,207,145,35643.9,27,217.96,13.043478260869565
181,2025-07-02,South,Sports,261,185,18162.79,13,92.49,4.980842911877394
182,2025-07-03,North,Home & Kitchen,196,102,14188.11,18,133.78,9.183673469387756
183,2025-07-04,West,Electronics,272,125,32167.65,19,217.21,6.985294117647059
184,2025-07-05,West,Beauty,156,92,6645.27,12,63.43,7.6923076923076925
185,2025-07-06,South,Home & Kitchen,307,219,24185.03,45,108.9,14.65798045602606
186,2025-07-07,East,Clothing,276,120,8270.62,12,82.05,4.3478260869565215
187,2025-07-08,West,Electronics,264,158,29121.42,23,171.9,8.712121212121213
188,2025-07-09,East,Beauty,304,183,10919.25,28,59.95,9.210526315789473
189,2025-07-10,South,Home & Kitchen,342,220,33186.26,37,133.65,10.818713450292398
190,2025-07-11,North,Beauty,306,123,7612.64,25,58.97,8.169934640522875
191,2025-07-12,North,Home & Kitchen,149,95,11523.49,13,125.42,8.724832214765101
192,2025-07-13,West,Sports,180,128,18487.66,13,129.67,7.222222222222221
193,2025-07-14,West,Home & Kitchen,216,91,14554.56,19,139.13,8.796296296296296
194,2025-07-15,East,Home & Kitchen,251,112,13092.94,18,130.18,7.171314741035857
195,2025-07-16,South,Sports,278,205,24790.07,27,102.33,9.712230215827338
196,2025-07-17,South,Clothing,210,89,10811.19,15,99.24,7.142857142857142
197,2025-07-18,East,Electronics,260,180,29101.34,23,186.8,8.846153846153847
198,2025-07-19,West,Electronics,208,114,22274.9,16,180.08,7.6923076923076925
199,2025-07-20,West,Beauty,216,97,6087.21,23,60.69,10.648148148148149
200,2025-07-21,West,Home & Kitchen,173,121,19698.77,14,142.4,8.092485549132949
201,2025-07-22,East,Beauty,199,105,6742.35,7,68.73,3.5175879396984926
202,2025-07-23,North,Electronics,176,98,17399.57,20,164.66,11.363636363636363
203,2025-07-24,North,Electronics,196,97,19014.16,11,176.19,5.612244897959184
204,2025-07-25,West,Electronics,308,181,34316.5,20,179.28,6.493506493506493
205,2025-07-26,East,Clothing,198,82,8676.85,13,106.2,6.565656565656567
206,2025-07-27,North,Home & Kitchen,395,200,28645.08,45,135.51,11.39240506329114
207,2025-07-28,North,Clothing,277,204,20794.77,8,104.21,2.888086642599278
208,2025-07-29,East,Clothing,260,118,8831.03,41,78.28,15.769230769230768
209,2025-07-30,North,Sports,203,124,14704.4,22,106.68,10.83743842364532
210,2025-07-31,North,Clothing,289,139,13267.14,25,94.36,8.650519031141869
211,2025-08-01,South,Home & Kitchen,218,144,17860.73,17,103.36,7.79816513761468
212,2025-08-02,East,Beauty,257,103,6552.14,22,63.95,8.560311284046692
213,2025-08-03,East,Clothing,391,289,26392.33,36,103.9,9.207161125319693
214,2025-08-04,North,Home & Kitchen,245,130,16267.91,24,108.67,9.795918367346939
215,2025-08-05,East,Sports,313,139,13222.16,29,111.4,9.26517571884984
216,2025-08-06,North,Sports,211,80,7798.27,17,98.72,8.056872037914692
217,2025-08-08,South,Electronics,248,104,16642.46,19,152.51,7.661290322580645
218,2025-08-09,East,Sports,347,194,19206.25,26,99.75,7.492795389048991
219,2025-08-10,East,Home & Kitchen,216,105,14579.64,16,146.41,7.4074074074074066
220,2025-08-11,West,Clothing,350,239,25291.27,38,105.31,10.857142857142858
221,2025-08-12,East,Clothing,289,151,15197.64,27,110.72,9.342560553633218
222,2025-08-13,East,Sports,219,98,10102.02,7,109.52,3.1963470319634704
223,2025-08-14,North,Home & Kitchen,285,170,17580.37,27,107.44,9.473684210526317
224,2025-08-15,South,Clothing,303,192,22370.9,26,96.64,8.58085808580858
225,2025-08-16,South,Home & Kitchen,284,118,17235.73,23,122.95,8.098591549295776
226,2025-08-17,North,Clothing,164,68,7632.03,12,106.78,7.317073170731707
227,2025-08-18,West,Electronics,210,77,14387.74,23,158.23,10.952380952380953
228,2025-08-19,South,Electronics,236,152,30845.78,24,184.22,10.16949152542373
229,2025-08-20,West,Electronics,246,151,28921.45,15,161.69,6.097560975609756
230,2025-08-21,East,Electronics,284,153,25215.86,26,173.32,9.15492957746479
231,2025-08-22,West,Electronics,260,179,39866.19,14,200.81,5.384615384615385
232,2025-08-23,South,Home & Kitchen,177,119,15412.64,8,123.92,4.519774011299435
233,2025-08-24,East,Electronics,271,158,27651.78,17,176.73,6.273062730627306
234,2025-08-25,South,Clothing,284,198,19972.74,29,91.39,10.211267605633804
235,2025-08-26,North,Sports,281,121,12840.68,29,108.39,10.320284697508896
236,2025-08-27,East,Home & Kitchen,309,122,13962.04,29,137.83,9.385113268608414
237,2025-08-28,South,Beauty,296,136,12312.73,29,79.88,9.797297297297296
238,2025-08-29,North,Electronics,275,103,23415.56,26,215.33,9.454545454545455
239,2025-08-30,East,Electronics,246,138,27050.66,16,204.11,6.504065040650407
240,2025-08-31,North,Electronics,159,115,22482.48,14,172.71,8.80503144654088
241,2025-09-01,West,Electronics,274,100,19538.72,27,197.53,9.854014598540147
242,2025-09-02,West,Clothing,261,104,10914.11,26,92.87,9.961685823754788
243,2025-09-03,West,Electronics,265,141,24077.87,29,168.66,10.943396226415095
244,2025-09-04,South,Electronics,180,130,32407.46,18,207.7,10.0
245,2025-09-05,North,Electronics,191,91,15680.11,17,154.26,8.900523560209423
246,2025-09-06,West,Home & Kitchen,308,170,26483.81,33,143.08,10.714285714285714
247,2025-09-07,South,Electronics,248,91,19375.09,20,182.43,8.064516129032258
248,2025-09-08,West,Clothing,287,117,12129.11,17,99.69,5.923344947735192
249,2025-09-09,West,Home & Kitchen,252,188,26681.05,19,132.17,7.5396825396825395
250,2025-09-10,West,Beauty,252,185,17003.7,15,79.96,5.952380952380952
251,2025-09-11,South,Electronics,302,106,22855.82,19,194.1,6.291390728476822
252,2025-09-12,South,Beauty,222,162,12845.51,17,72.87,7.657657657657657
253,2025-09-13,West,Home & Kitchen,255,154,17526.45,15,105.5,5.88235294117647
254,2025-09-14,South,Electronics,225,157,34896.5,16,186.23,7.111111111111111
255,2025-09-15,North,Sports,226,120,11715.61,7,96.15,3.0973451327433628
256,2025-09-16,East,Sports,233,130,13348.49,20,119.4,8.583690987124463
257,2025-09-17,West,Electronics,262,143,29913.31,21,185.81,8.015267175572518
258,2025-09-18,East,Clothing,224,138,13680.6,13,101.16,5.803571428571429
259,2025-09-19,East,Beauty,319,129,6382.78,31,58.45,9.717868338557993
260,2025-09-20,North,Beauty,201,73,4326.31,21,59.54,10.44776119402985
261,2025-09-21,East,Electronics,240,114,19416.55,10,199.41,4.166666666666666
262,2025-09-22,West,Electronics,226,143,23434.81,14,156.5,6.1946902654867255
263,2025-09-23,North,Clothing,330,142,11859.75,20,80.34,6.0606060606060606
264,2025-09-24,South,Home & Kitchen,261,162,19625.97,15,103.04,5.747126436781609
265,2025-09-25,West,Home & Kitchen,307,227,36759.19,31,145.54,10.097719869706841
266,2025-09-26,East,Clothing,168,65,6315.72,13,103.12,7.738095238095238
267,2025-09-27,East,Home & Kitchen,265,164,17336.75,19,118.4,7.169811320754717
268,2025-09-28,East,Beauty,299,158,10073.44,9,64.87,3.0100334448160537
269,2025-09-29,South,Electronics,255,178,34685.67,24,174.99,9.411764705882353
270,2025-09-30,South,Clothing,309,130,16655.58,15,104.39,4.854368932038835
271,2025-10-01,West,Beauty,222,139,11417.7,18,74.07,8.108108108108109
272,2025-10-02,West,Sports,328,225,21928.3,29,97.53,8.841463414634147
273,2025-10-03,West,Home & Kitchen,376,274,33799.25,43,110.33,11.436170212765957
274,2025-10-04,West,Home & Kitchen,230,143,15936.61,11,106.93,4.782608695652174
275,2025-10-05,South,Electronics,225,123,27961.44,7,195.68,3.111111111111111
276,2025-10-06,South,Clothing,330,197,20979.57,28,104.04,8.484848484848486
277,2025-10-07,West,Home & Kitchen,337,235,27153.89,42,114.43,12.462908011869436
278,2025-10-08,East,Clothing,221,128,9917.0,25,78.62,11.312217194570136
279,2025-10-09,East,Clothing,227,82,5756.53,19,80.71,8.370044052863436
280,2025-10-10,West,Clothing,235,170,21753.35,16,111.0,6.808510638297872
281,2025-10-11,West,Electronics,176,110,19461.16,18,171.38,10.227272727272728
282,2025-10-12,South,Clothing,199,124,14886.26,11,104.21,5.527638190954774
283,2025-10-13,South,Electronics,195,85,19116.72,18,193.3,9.230769230769232
284,2025-10-14,North,Clothing,208,128,12255.96,19,90.96,9.134615384615383
285,2025-10-15,East,Electronics,248,126,18426.61,26,165.4,10.483870967741936
286,2025-10-16,North,Sports,263,161,15138.37,39,95.01,14.82889733840304
287,2025-10-17,South,Home & Kitchen,335,132,17448.98,30,130.18,8.955223880597014
288,2025-10-18,South,Beauty,195,120,9932.69,13,76.92,6.666666666666667
289,2025-10-20,South,Beauty,304,228,19378.11,24,73.63,7.894736842105263
290,2025-10-21,East,Home & Kitchen,238,88,11126.89,9,126.36,3.7815126050420167
291,2025-10-22,North,Electronics,247,183,31889.11,15,154.49,6.0728744939271255
292,2025-10-23,North,Home & Kitchen,287,147,23747.26,20,146.08,6.968641114982578
293,2025-10-24,West,Home & Kitchen,188,131,20716.43,13,138.44,6.914893617021277
294,2025-10-25,South,Beauty,271,180,13490.58,23,64.78,8.487084870848708
295,2025-10-26,North,Clothing,259,149,16594.45,15,111.41,5.7915057915057915
296,2025-10-27,South,Electronics,277,179,41581.39,30,191.79,10.830324909747292
297,2025-10-28,West,Clothing,266,187,20430.32,21,97.82,7.894736842105263
298,2025-10-29,North,Clothing,385,197,21663.58,31,103.48,8.051948051948052
299,2025-10-30,East,Home & Kitchen,215,103,12149.48,15,139.03,6.976744186046512
300,2025-10-31,North,Home & Kitchen,221,136,18655.66,19,132.04,8.597285067873303
301,2025-11-01,North,Clothing,216,145,12427.81,22,82.28,10.185185185185185
302,2025-11-02,South,Sports,219,143,17802.39,13,103.6,5.93607305936073
303,2025-11-03,South,Home & Kitchen,215,144,23483.32,14,144.26,6.511627906976744
304,2025-11-04,East,Electronics,315,165,24693.84,23,166.66,7.301587301587302
305,2025-11-05,East,Electronics,328,222,39483.7,15,176.49,4.573170731707317
306,2025-11-06,West,Electronics,219,87,15637.63,13,180.48,5.93607305936073
307,2025-11-07,South,Clothing,204,116,11886.44,14,92.93,6.862745098039216
308,2025-11-08,South,Electronics,276,97,18999.63,28,192.52,10.144927536231885
309,2025-11-09,West,Electronics,220,106,25735.37,19,214.51,8.636363636363637
310,2025-11-10,South,Clothing,285,142,14843.49,24,86.13,8.421052631578947
311,2025-11-11,South,Electronics,261,133,22755.19,26,159.79,9.961685823754788
312,2025-11-12,North,Sports,167,105,11581.2,13,98.02,7.784431137724551
313,2025-11-13,North,Electronics,335,169,35846.88,30,210.77,8.955223880597014
314,2025-11-14,West,Home & Kitchen,349,185,28445.16,27,131.56,7.736389684813753
315,2025-11-15,West,Clothing,216,96,9552.4,19,87.68,8.796296296296296
316,2025-11-16,East,Sports,229,114,13632.39,15,122.51,6.550218340611353
317,2025-11-17,South,Electronics,266,117,24755.54,8,209.07,3.007518796992481
318,2025-11-18,North,Clothing,268,102,12502.88,21,106.85,7.835820895522389
319,2025-11-19,North,Sports,286,169,23481.76,33,126.59,11.538461538461538
320,2025-11-20,South,Sports,361,223,24046.29,37,100.19,10.249307479224377
321,2025-11-21,South,Beauty,240,143,13047.45,25,76.43,10.416666666666668
322,2025-11-22,East,Clothing,206,110,9063.26,23,93.65,11.165048543689322
323,2025-11-23,East,Electronics,174,87,17870.54,14,207.78,8.045977011494253
324,2025-11-24,South,Beauty,210,146,11428.38,18,75.76,8.571428571428571
325,2025-11-25,West,Sports,248,138,18760.73,16,120.95,6.451612903225806
326,2025-11-26,East,Home & Kitchen,349,189,23144.24,25,132.03,7.163323782234957
327,2025-11-27,East,Home & Kitchen,222,80,7475.19,21,110.48,9.45945945945946
328,2025-11-28,East,Clothing,262,127,10697.46,29,96.54,11.068702290076336
329,2025-11-29,South,Beauty,249,125,10387.01,19,82.21,7.630522088353414
330,2025-11-30,North,Electronics,315,161,35972.56,22,214.13,6.984126984126984
331,2025-12-01,South,Clothing,389,226,19294.04,31,79.38,7.969151670951156
332,2025-12-02,West,Clothing,221,125,11499.75,21,83.54,9.502262443438914
333,2025-12-03,North,Home & Kitchen,223,132,14418.96,10,108.43,4.484304932735426
334,2025-12-04,North,Clothing,307,201,20813.57,9,102.73,2.9315960912052117
335,2025-12-05,North,Electronics,288,194,44037.36,19,206.16,6.597222222222222
336,2025-12-06,North,Home & Kitchen,352,224,23985.33,17,112.11,4.829545454545454
337,2025-12-07,West,Clothing,282,206,22886.77,19,95.2,6.73758865248227
338,2025-12-08,East,Home & Kitchen,230,82,11332.34,18,140.33,7.82608695652174
339,2025-12-09,South,Electronics,282,121,28083.67,19,200.5,6.73758865248227
340,2025-12-10,North,Home & Kitchen,311,110,14930.22,36,126.9,11.57556270096463
341,2025-12-11,South,Home & Kitchen,295,180,28062.09,26,129.07,8.813559322033898
342,2025-12-12,South,Electronics,278,197,38365.32,24,185.56,8.633093525179856
343,2025-12-13,North,Clothing,309,138,11688.09,30,88.08,9.70873786407767
344,2025-12-14,South,Electronics,314,226,45426.51,16,189.33,5.095541401273886
345,2025-12-15,South,Electronics,326,122,28587.9,35,197.58,10.736196319018406
346,2025-12-16,East,Sports,286,207,21551.57,22,124.78,7.6923076923076925
347,2025-12-17,East,Clothing,241,118,10998.27,23,99.66,9.54356846473029
348,2025-12-18,North,Beauty,258,101,8926.03,14,76.58,5.426356589147287
349,2025-12-19,South,Clothing,316,172,17202.92,13,83.37,4.113924050632911
350,2025-12-20,East,Beauty,205,93,5931.54,21,69.03,10.24390243902439
